protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
UniRef90_F8WEB3,0,0.00468186,0,0,0,0,0,0
UniRef90_A0A6J0A932,0.009097628,0.012102862,0,0,0,0,0,0.012463963
UniRef90_Q92736,0.035674642,0.058826537,0.11174337,0.030543128,0.037974791,0.109357294,0.024789887,0.059180304
UniRef90_W5PBD7,0.010562305,0,0,0,0,0,0,0
UniRef90_A0A6J3IU69,0.010561754,0.014046326,0,0,0,0,0,0.020114211
UniRef90_F5H2W4,0.021134008,0.0173258,0.011229907,0.01768336,0.01582735,0,0.015572521,0.011192611
UniRef90_Q14149,0,0,0.007667557,0,0.007913995,0.008317153,0,0
UniRef90_A0A6J0CW69,0.021388865,0.024947083,0.012498411,0.021720819,0.007908205,0.00831089,0.018428306,0.020483944
UniRef90_O75390,0.103722734,0.09445809,0.10388074,0.056545346,0.071872534,0.093967413,0.039331504,0.081906335
UniRef90_A0A2K5YJ29,0,0,0,0,0.004993166,0,0,0
UniRef90_Q62234,0.01441693,0.022529956,0.016734626,0.016978457,0.014978579,0,0,0.018360674
UniRef90_A0A5F4C3C8,0.025007844,0.027490284,0,0.008095213,0,0,0.008785319,0.018835513
UniRef90_A0A2R8MJC3,0,0.004681285,0,0.00510975,0.023491775,0,0,0.004820909
UniRef90_F2Z2X9,0.015735925,0.004680706,0,0,0.026052982,0,0,0.01246171
UniRef90_P07910,0.009097816,0.00468177,0,0,0.011594695,0,0,0
UniRef90_P46933,0,0,0,0.020895233,0.01290739,0,0,0.004821235
UniRef90_Q86VB7-4,0.040665312,0.035422565,0.024911575,0.023012598,0.019394051,0.008264029,0.020424958,0.031887543
UniRef90_Q8VEE1,0.020560141,0.027080243,0,0.03289165,0.011580386,0,0,0.030094477
UniRef90_F5GWE5,0,0.004681852,0,0,0,0,0,0.004821493
UniRef90_O14818,0.038623667,0.033805176,0.009647524,0.017631431,0.021534192,0,0,0.015240912
UniRef90_P30101,0.042424458,0.038583026,0.09542113,0.0333302,0.042414906,0.072687722,0.027516887,0.042409824
UniRef90_A0A087WYS0,0.015733462,0.026189844,0,0,0.014013238,0,0,0.025853553
UniRef90_Q63488,0.017763541,0.02225567,0,0.030621688,0.029646001,0,0.008785109,0.004818559
UniRef90_H7BZC1,0.012771331,0.00936389,0,0,0,0,0,0.011195769
UniRef90_P82460,0.041864726,0.044035935,0.021910786,0.025037228,0.022302647,0.008200938,0.022419802,0.037412108
UniRef90_Q9NYY8,0.004548775,0.004681843,0.004837651,0,0,0,0,0
UniRef90_A0A286XP89,0,0.026569347,0,0,0,0,0,0.027513651
UniRef90_U3I9S9,0,0.00468186,0,0,0,0,0,0
UniRef90_A0A5G2QXI1,0.020852705,0.031218278,0.016059764,0,0.037603235,0.008307156,0,0.011182486
UniRef90_Q791V5,0.025144241,0,0,0,0,0,0,0
UniRef90_Q64737,0,0.010870759,0.007667004,0,0.02041919,0,0,0.011195136
UniRef90_Q9WTI7,0.007209667,0.004681806,0.004837614,0,0.007914211,0,0,0
UniRef90_O88738,0.007209693,0.004681758,0.009675543,0.01022105,0.00499306,0,0,0
UniRef90_I3LPE5,0,0,0,0,0,0,0,0.007642006
UniRef90_P18298,0.01966717,0,0,0.018918995,0.019515752,0,0.00878839,0.004820359
UniRef90_Q9UPN6,0,0.010871336,0,0,0,0,0,0
UniRef90_H0W7Y9,0.027963394,0.029459598,0.013562476,0.0227817,0.019489678,0.005238584,0.005536509,0.024118114
UniRef90_K7EJG5,0.007209434,0.004681655,0.012506507,0,0.011593911,0,0,0.012464236
UniRef90_Q9NVE7,0,0.007420662,0,0,0,0,0,0
UniRef90_Q15424,0.051725778,0.051265387,0.05023711,0.046599765,0.053139555,0.043947261,0.038912516,0.047290857
UniRef90_P22682,0.036667895,0.030887055,0.021777239,0.023643697,0.040669606,0.018055424,0.015487505,0.0282855
UniRef90_P53619,0.007209797,0.007420736,0,0,0,0,0,0
UniRef90_A0A5N3W782,0.007209311,0.015555841,0.007667308,0.013210484,0.009986509,0.005247004,0,0.004821141
UniRef90_Q6AY86,0.009097778,0,0,0,0,0,0,0
UniRef90_A0A2I3SB65,0.007209797,0.007420736,0,0,0,0,0,0
UniRef90_F1SDJ6,0,0,0,0.005110306,0.011594753,0,0,0
UniRef90_H0YE27,0.033719012,0,0,0,0,0,0,0
UniRef90_A0A5F4D7Q6,0.012770853,0.018299316,0.004837218,0,0.011593836,0,0,0.004821052
UniRef90_D3Z2A5,0.018184242,0.030373627,0.007659518,0.023734073,0.019496154,0.005241673,0,0.024344273
UniRef90_J3KNE3,0.012771206,0,0,0,0,0,0,0.00482144
UniRef90_J3QPZ8,0.009097918,0.004681822,0,0,0,0,0,0.004821463
UniRef90_F1RGN8,0.007209742,0,0,0,0,0,0,0
UniRef90_H0Y7V8,0,0,0.011233354,0,0,0,0,0
UniRef90_O75781,0.039285865,0.033099612,0.039803292,0.022634106,0.027747244,0,0.01099676,0.035059298
UniRef90_Q6A026,0.007209648,0,0,0,0.011594755,0,0,0
